method,query,k,precision,recall,ndcg,mrr
semantic,make the experiment repeatable with human judgments,5,0.8,0.13333333333333333,0.7860137352654724,1.0
semantic,make the experiment repeatable with human judgments,10,0.6,0.2,0.6496872770120411,1.0
keyword,connect forgotten research ideas across my note collection,3,0.0,0.0,0.0,0.0
keyword,connect forgotten research ideas across my note collection,5,0.0,0.0,0.0,0.0
keyword,connect forgotten research ideas across my note collection,10,0.0,0.0,0.0,0.0
semantic,connect forgotten research ideas across my note collection,3,1.0,0.1,1.0,1.0
semantic,connect forgotten research ideas across my note collection,5,1.0,0.16666666666666666,1.0,1.0
semantic,connect forgotten research ideas across my note collection,10,0.9,0.3,0.9363792118010483,1.0
keyword,avoid building a large backend for a small demo,3,1.0,0.1,1.0,1.0
keyword,avoid building a large backend for a small demo,5,1.0,0.16666666666666666,1.0,1.0
keyword,avoid building a large backend for a small demo,10,1.0,0.3333333333333333,1.0,1.0
semantic,avoid building a large backend for a small demo,3,1.0,0.1,1.0,1.0
semantic,avoid building a large backend for a small demo,5,1.0,0.16666666666666666,1.0,1.0
semantic,avoid building a large backend for a small demo,10,1.0,0.3333333333333333,1.0,1.0
keyword,short previews before opening a full note,3,1.0,0.1,1.0,1.0
keyword,short previews before opening a full note,5,1.0,0.16666666666666666,1.0,1.0
keyword,short previews before opening a full note,10,1.0,0.3333333333333333,1.0,1.0
semantic,short previews before opening a full note,3,1.0,0.1,1.0,1.0
semantic,short previews before opening a full note,5,1.0,0.16666666666666666,1.0,1.0
semantic,short previews before opening a full note,10,1.0,0.3333333333333333,1.0,1.0
keyword,save note fields so experiments can be repeated later,3,1.0,0.1,1.0,1.0
keyword,save note fields so experiments can be repeated later,5,1.0,0.16666666666666666,1.0,1.0
keyword,save note fields so experiments can be repeated later,10,0.7,0.23333333333333334,0.800693766409882,1.0
semantic,save note fields so experiments can be repeated later,3,0.0,0.0,0.0,0.14285714285714285
semantic,save note fields so experiments can be repeated later,5,0.0,0.0,0.0,0.14285714285714285
semantic,save note fields so experiments can be repeated later,10,0.2,0.06666666666666667,0.13698471029831175,0.14285714285714285
keyword,labels that appear without me typing them manually,3,0.6666666666666666,0.06666666666666667,0.5307212739772434,0.5
keyword,labels that appear without me typing them manually,5,0.6,0.1,0.5296347172140421,0.5
keyword,labels that appear without me typing them manually,10,0.4,0.13333333333333333,0.4131279133289227,0.5
semantic,labels that appear without me typing them manually,3,1.0,0.1,1.0,1.0
semantic,labels that appear without me typing them manually,5,1.0,0.16666666666666666,1.0,1.0
semantic,labels that appear without me typing them manually,10,1.0,0.3333333333333333,1.0,1.0
